Receipt,TransactionDate,BeginHour,EAN,Quantity,PersonAgeGrp,KCustomer,QualClass,EasyClass,CustomerID
14463347,2017-01-01,11,6410405133045,1.0,55-64,6712,Q_1-3,E_8-10,955
14463347,2017-01-01,11,6409770013434,1.0,55-64,6712,Q_1-3,E_8-10,955
14463347,2017-01-01,11,6408641799569,1.0,55-64,6712,Q_1-3,E_8-10,955
22056072,2017-01-02,14,2000809600003,1.0,55-64,6712,Q_1-3,E_8-10,955
22056072,2017-01-02,14,2000811600008,2.0,55-64,6712,Q_1-3,E_8-10,955
22056072,2017-01-02,14,2000809700000,1.0,55-64,6712,Q_1-3,E_8-10,955
40059925,2017-01-05,18,2000973900008,2.0,55-64,6712,Q_1-3,E_8-10,955
40059925,2017-01-05,18,6410405098283,4.0,55-64,6712,Q_1-3,E_8-10,955
40059925,2017-01-05,18,6413600094258,1.0,55-64,6712,Q_1-3,E_8-10,955
40059925,2017-01-05,18,6419800020837,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410405176011,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410405091260,5.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,4001724819004,3.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410405146281,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410405138385,2.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410405118653,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6420101146447,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,2386495800003,2.61,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,5900951125737,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410402016242,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6437005041020,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,8717163096123,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,2000973900008,6.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,8712100628504,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,8712561249072,1.0,55-64,6712,Q_1-3,E_8-10,955
48748640,2017-01-06,19,6410405120021,2.0,55-64,6712,Q_1-3,E_8-10,955
