Receipt,TransactionDate,BeginHour,EAN,Quantity,PersonAgeGrp,KCustomer,QualClass,EasyClass,CustomerID
23187307,2017-01-02,19,8712561195645,1.0,25-34,6711,Q_8-10,E_8-10,265
23187307,2017-01-02,19,3600522943419,1.0,25-34,6711,Q_8-10,E_8-10,265
23187307,2017-01-02,19,4015400810759,1.0,25-34,6711,Q_8-10,E_8-10,265
23187307,2017-01-02,19,4210201849575,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,6407840042834,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,6430060380059,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,7311310034429,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,73151913,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,7310500004563,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,6405304003575,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,8715035110106,1.0,25-34,6711,Q_8-10,E_8-10,265
30584459,2017-01-03,20,2000507900009,0.093,25-34,6711,Q_8-10,E_8-10,265
44288681,2017-01-05,9,2000393200009,1.0,25-34,6711,Q_8-10,E_8-10,265
44288681,2017-01-05,9,2000989900009,1.0,25-34,6711,Q_8-10,E_8-10,265
44288681,2017-01-05,9,6430015390522,1.0,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,6408430041015,1.0,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,2000615100001,0.07,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,6410402024469,1.0,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,6410405113115,1.0,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,6410105296088,1.0,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,6423800321511,1.0,25-34,6711,Q_8-10,E_8-10,265
50382293,2017-01-06,16,2000306200003,0.11,25-34,6711,Q_8-10,E_8-10,265
