Receipt,TransactionDate,BeginHour,EAN,Quantity,PersonAgeGrp,KCustomer,QualClass,EasyClass,CustomerID
15203632,2017-01-01,19,4045113001625,1.0,55-64,6712,Q_8-10,E_4-7,980
15203632,2017-01-01,19,6410381086380,1.0,55-64,6712,Q_8-10,E_4-7,980
15203632,2017-01-01,19,6419800071198,6.0,55-64,6712,Q_8-10,E_4-7,980
15203632,2017-01-01,19,2000973900008,6.0,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,2000642500003,0.391,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,6410405095916,1.0,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,2000388400001,0.176,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,6430060940017,1.0,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,6410405046420,1.0,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,6405871003510,1.0,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,2000796900001,0.769,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,2000606200000,0.581,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,2000300400003,0.338,55-64,6712,Q_8-10,E_4-7,980
26133488,2017-01-03,16,6408430690459,1.0,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,6413467231100,2.0,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,6410402020669,1.0,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,762111107237,1.0,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,2000585400002,0.206,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,2000530600006,0.037,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,6437005068539,1.0,55-64,6712,Q_8-10,E_4-7,980
36252212,2017-01-04,16,6407870074041,2.0,55-64,6712,Q_8-10,E_4-7,980
