Receipt,TransactionDate,BeginHour,EAN,Quantity,PersonAgeGrp,KCustomer,QualClass,EasyClass,CustomerID
16626949,2017-01-01,19,8076802085851,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,2362530100000,0.372,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,8712561593533,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,6430061140010,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,6410405046420,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,8717644682944,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,6413467278402,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,6412600801101,1.0,35-44,6711,Q_8-10,E_8-10,490
16626949,2017-01-01,19,6412600801125,2.0,35-44,6711,Q_8-10,E_8-10,490
19651936,2017-01-02,16,6410405038302,1.0,35-44,6711,Q_8-10,E_8-10,490
19651936,2017-01-02,16,6410405054623,1.0,35-44,6711,Q_8-10,E_8-10,490
19651936,2017-01-02,16,6427900000079,1.0,35-44,6711,Q_8-10,E_8-10,490
19651936,2017-01-02,16,2000619500005,0.322,35-44,6711,Q_8-10,E_8-10,490
19651936,2017-01-02,16,2000607600007,0.533,35-44,6711,Q_8-10,E_8-10,490
19651936,2017-01-02,16,2000516200008,0.597,35-44,6711,Q_8-10,E_8-10,490
24776300,2017-01-03,8,6408641832990,1.0,35-44,6711,Q_8-10,E_8-10,490
24776300,2017-01-03,8,6408641799569,1.0,35-44,6711,Q_8-10,E_8-10,490
24776300,2017-01-03,8,6412000034659,1.0,35-44,6711,Q_8-10,E_8-10,490
24776300,2017-01-03,8,6413600017516,1.0,35-44,6711,Q_8-10,E_8-10,490
24776300,2017-01-03,8,7350020721762,1.0,35-44,6711,Q_8-10,E_8-10,490
24776300,2017-01-03,8,2000939000001,1.0,35-44,6711,Q_8-10,E_8-10,490
51974485,2017-01-07,12,6416453028616,1.0,35-44,6711,Q_8-10,E_8-10,490
51974485,2017-01-07,12,64008899,1.0,35-44,6711,Q_8-10,E_8-10,490
51974485,2017-01-07,12,7312631101029,1.0,35-44,6711,Q_8-10,E_8-10,490
51974485,2017-01-07,12,6410405046765,3.0,35-44,6711,Q_8-10,E_8-10,490
