Receipt,TransactionDate,BeginHour,EAN,Quantity,PersonAgeGrp,KCustomer,QualClass,EasyClass,CustomerID
16641950,2017-01-01,15,6410402010332,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,6408641052008,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,2000522600007,0.155,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,6409290001591,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,8429568123488,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,6410405080929,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,2000607100002,0.175,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,6416777222882,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,6410405070616,1.0,45-54,6715,Q_8-10,E_1-3,885
16641950,2017-01-01,15,6413467278501,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6408430000586,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6413300000054,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6415131413775,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,4084500823426,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,2000528900002,0.41,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6413300000313,2.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6413300000115,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6410405085627,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6438242840339,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6413300000122,2.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6417964574975,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6410405038593,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6438242847130,2.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6413300000214,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6415131413751,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6413300000412,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,3574661203584,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6410405132789,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6415350002804,1.0,45-54,6715,Q_8-10,E_1-3,885
24715267,2017-01-03,18,6410400033036,1.0,45-54,6715,Q_8-10,E_1-3,885
